CODE,MUNICIPIO,SI,NO,BLANCO,NULO,NOTES
cervera,Cervera,5417,4063,160,361,El censo de <strong>Cervera</strong> es <strong>15479</strong> y ha participado un <strong>65%</strong>
cervia-de-les-garrigues,Cervià de les Garrigues,7267,4652,265,227,El censo de <strong>Cervià de les Garrigues</strong> es <strong>17765</strong> y ha participado un <strong>70%</strong>
cervia-de-ter,Cervià de Ter,5759,3136,354,251,El censo de <strong>Cervià de Ter</strong> es <strong>15012</strong> y ha participado un <strong>63%</strong>
cistella,Cistella,9504,5774,235,202,El censo de <strong>Cistella</strong> es <strong>20567</strong> y ha participado un <strong>76%</strong>
ciutadilla,Ciutadilla,8799,3116,161,425,El censo de <strong>Ciutadilla</strong> es <strong>17218</strong> y ha participado un <strong>73%</strong>
clariana-de-cardener,Clariana de Cardener,7150,5109,142,497,El censo de <strong>Clariana de Cardener</strong> es <strong>18560</strong> y ha participado un <strong>69%</strong>
colera,Colera,9404,4042,456,294,El censo de <strong>Colera</strong> es <strong>17233</strong> y ha participado un <strong>82%</strong>
coll-de-nargo,Coll de Nargó,8280,4323,395,223,El censo de <strong>Coll de Nargó</strong> es <strong>16309</strong> y ha participado un <strong>81%</strong>
collbato,Collbató,8089,3249,381,261,El censo de <strong>Collbató</strong> es <strong>17233</strong> y ha participado un <strong>70%</strong>
colldejou,Colldejou,8687,5850,492,389,El censo de <strong>Colldejou</strong> es <strong>20689</strong> y ha participado un <strong>75%</strong>
collsuspina,Collsuspina,8021,3915,261,439,El censo de <strong>Collsuspina</strong> es <strong>16388</strong> y ha participado un <strong>77%</strong>
colomers,Colomers,6614,5754,225,367,El censo de <strong>Colomers</strong> es <strong>17903</strong> y ha participado un <strong>72%</strong>
conca-de-dalt,Conca de Dalt,8094,4699,178,289,El censo de <strong>Conca de Dalt</strong> es <strong>19092</strong> y ha participado un <strong>69%</strong>
conesa,Conesa,5491,4906,190,150,El censo de <strong>Conesa</strong> es <strong>14221</strong> y ha participado un <strong>76%</strong>
constanti,Constantí,9733,3597,175,155,El censo de <strong>Constantí</strong> es <strong>19263</strong> y ha participado un <strong>71%</strong>
copons,Copons,7022,3049,203,298,El censo de <strong>Copons</strong> es <strong>13725</strong> y ha participado un <strong>77%</strong>
corbera-de-llobregat,Corbera de Llobregat,9676,3744,225,382,El censo de <strong>Corbera de Llobregat</strong> es <strong>17446</strong> y ha participado un <strong>80%</strong>
corbera-d-ebre,Corbera d'Ebre,9128,3416,445,477,El censo de <strong>Corbera d'Ebre</strong> es <strong>18918</strong> y ha participado un <strong>71%</strong>
corbins,Corbins,6835,5107,376,428,El censo de <strong>Corbins</strong> es <strong>15952</strong> y ha participado un <strong>80%</strong>
corca,Corçà,5066,5984,436,105,El censo de <strong>Corçà</strong> es <strong>16665</strong> y ha participado un <strong>70%</strong>
cornella-de-llobregat,Cornellà de Llobregat,6997,4979,477,377,El censo de <strong>Cornellà de Llobregat</strong> es <strong>17705</strong> y ha participado un <strong>72%</strong>
cornella-del-terri,Cornellà del Terri,6853,4457,386,365,El censo de <strong>Cornellà del Terri</strong> es <strong>16160</strong> y ha participado un <strong>75%</strong>
cornudella-de-montsant,Cornudella de Montsant,6532,4040,172,359,El censo de <strong>Cornudella de Montsant</strong> es <strong>15219</strong> y ha participado un <strong>73%</strong>
creixell,Creixell,6479,4346,368,325,El censo de <strong>Creixell</strong> es <strong>15658</strong> y ha participado un <strong>74%</strong>
crespia,Crespià,6374,3606,107,293,El censo de <strong>Crespià</strong> es <strong>13498</strong> y ha participado un <strong>77%</strong>
cruilles-monells-i-sant-sadurni-de-l-heura,Cruïlles, Monells i Sant Sadurní de l'Heura,5489,5475,101,143,El censo de <strong>Cruïlles, Monells i Sant Sadurní de l'Heura</strong> es <strong>16874</strong> y ha participado un <strong>66%</strong>
cubelles,Cubelles,6142,4033,111,400,El censo de <strong>Cubelles</strong> es <strong>14467</strong> y ha participado un <strong>74%</strong>
cubells,Cubells,6942,3693,410,292,El censo de <strong>Cubells</strong> es <strong>15568</strong> y ha participado un <strong>73%</strong>
cunit,Cunit,6244,3980,124,241,El censo de <strong>Cunit</strong> es <strong>14437</strong> y ha participado un <strong>73%</strong>
darnius,Darnius,6070,4950,100,264,El censo de <strong>Darnius</strong> es <strong>15998</strong> y ha participado un <strong>71%</strong>
das,Das,7696,3701,289,351,El censo de <strong>Das</strong> es <strong>15774</strong> y ha participado un <strong>76%</strong>
deltebre,Deltebre,7544,4165,301,278,El censo de <strong>Deltebre</strong> es <strong>16125</strong> y ha participado un <strong>76%</strong>
dosrius,Dosrius,7235,5676,387,233,El censo de <strong>Dosrius</strong> es <strong>18493</strong> y ha participado un <strong>73%</strong>
duesaigues,Duesaigües,6055,4359,463,320,El censo de <strong>Duesaigües</strong> es <strong>16250</strong> y ha participado un <strong>69%</strong>
el-bruc,El Bruc,9457,3864,259,429,El censo de <strong>El Bruc</strong> es <strong>19158</strong> y ha participado un <strong>73%</strong>
el-brull,El Brull,6354,5009,122,430,El censo de <strong>El Brull</strong> es <strong>15693</strong> y ha participado un <strong>76%</strong>
el-catllar,El Catllar,8491,4942,310,182,El censo de <strong>El Catllar</strong> es <strong>19596</strong> y ha participado un <strong>71%</strong>
el-cogul,El Cogul,7012,3488,247,398,El censo de <strong>El Cogul</strong> es <strong>16650</strong> y ha participado un <strong>67%</strong>
el-far-d-emporda,El Far d'Empordà,6923,3833,304,175,El censo de <strong>El Far d'Empordà</strong> es <strong>15098</strong> y ha participado un <strong>74%</strong>
el-lloar,El Lloar,6872,4594,190,371,El censo de <strong>El Lloar</strong> es <strong>16399</strong> y ha participado un <strong>73%</strong>
el-masnou,El Masnou,5862,5914,423,424,El censo de <strong>El Masnou</strong> es <strong>18416</strong> y ha participado un <strong>69%</strong>
el-masroig,El Masroig,7373,5792,344,332,El censo de <strong>El Masroig</strong> es <strong>18459</strong> y ha participado un <strong>75%</strong>
el-mila,El Milà,5006,3493,159,363,El censo de <strong>El Milà</strong> es <strong>12898</strong> y ha participado un <strong>70%</strong>
el-molar,El Molar,7813,5465,422,103,El censo de <strong>El Molar</strong> es <strong>17578</strong> y ha participado un <strong>79%</strong>
el-montmell,El Montmell,8492,3263,442,300,El censo de <strong>El Montmell</strong> es <strong>16525</strong> y ha participado un <strong>76%</strong>
el-morell,El Morell,7783,5581,366,162,El censo de <strong>El Morell</strong> es <strong>17468</strong> y ha participado un <strong>80%</strong>
el-palau-d-anglesola,El Palau d'Anglesola,6312,5158,350,372,El censo de <strong>El Palau d'Anglesola</strong> es <strong>16142</strong> y ha participado un <strong>76%</strong>
el-papiol,El Papiol,9583,5258,228,432,El censo de <strong>El Papiol</strong> es <strong>19032</strong> y ha participado un <strong>81%</strong>
el-perello,El Perelló,8526,4361,116,338,El censo de <strong>El Perelló</strong> es <strong>17581</strong> y ha participado un <strong>76%</strong>
el-pinell-de-brai,El Pinell de Brai,7272,5945,380,416,El censo de <strong>El Pinell de Brai</strong> es <strong>19672</strong> y ha participado un <strong>71%</strong>
el-pla-de-santa-maria,El Pla de Santa Maria,5091,5262,459,491,El censo de <strong>El Pla de Santa Maria</strong> es <strong>15226</strong> y ha participado un <strong>74%</strong>
el-pla-del-penedes,El Pla del Penedès,5576,3863,270,347,El censo de <strong>El Pla del Penedès</strong> es <strong>15950</strong> y ha participado un <strong>63%</strong>
el-poal,El Poal,6432,3257,112,401,El censo de <strong>El Poal</strong> es <strong>14812</strong> y ha participado un <strong>69%</strong>
el-pont-d-armentera,El Pont d'Armentera,8431,4500,386,276,El censo de <strong>El Pont d'Armentera</strong> es <strong>18462</strong> y ha participado un <strong>74%</strong>
el-pont-de-bar,El Pont de Bar,5405,3796,392,171,El censo de <strong>El Pont de Bar</strong> es <strong>12765</strong> y ha participado un <strong>76%</strong>
el-pont-de-suert,El Pont de Suert,8649,4531,179,394,El censo de <strong>El Pont de Suert</strong> es <strong>19739</strong> y ha participado un <strong>70%</strong>
el-pont-de-vilomara-i-rocafort,El Pont de Vilomara i Rocafort,5429,4245,446,490,El censo de <strong>El Pont de Vilomara i Rocafort</strong> es <strong>15292</strong> y ha participado un <strong>69%</strong>
el-port-de-la-selva,El Port de la Selva,7099,3050,242,215,El censo de <strong>El Port de la Selva</strong> es <strong>16555</strong> y ha participado un <strong>64%</strong>
el-prat-de-llobregat,El Prat de Llobregat,7769,5475,222,303,El censo de <strong>El Prat de Llobregat</strong> es <strong>19210</strong> y ha participado un <strong>72%</strong>
el-rourell,El Rourell,6563,4626,161,170,El censo de <strong>El Rourell</strong> es <strong>16537</strong> y ha participado un <strong>70%</strong>
el-soleras,El Soleràs,9988,5038,149,279,El censo de <strong>El Soleràs</strong> es <strong>18704</strong> y ha participado un <strong>83%</strong>
el-vendrell,El Vendrell,7398,3284,418,235,El censo de <strong>El Vendrell</strong> es <strong>15770</strong> y ha participado un <strong>72%</strong>
el-vilosell,El Vilosell,6425,3664,237,448,El censo de <strong>El Vilosell</strong> es <strong>15590</strong> y ha participado un <strong>69%</strong>
els-alamus,Els Alamús,9649,3634,244,148,El censo de <strong>Els Alamús</strong> es <strong>17136</strong> y ha participado un <strong>80%</strong>
els-garidells,Els Garidells,5918,4458,147,101,El censo de <strong>Els Garidells</strong> es <strong>13661</strong> y ha participado un <strong>78%</strong>
els-guiamets,Els Guiamets,7841,3265,495,482,El censo de <strong>Els Guiamets</strong> es <strong>17317</strong> y ha participado un <strong>70%</strong>
els-hostalets-de-pierola,Els Hostalets de Pierola,9002,3207,272,239,El censo de <strong>Els Hostalets de Pierola</strong> es <strong>16692</strong> y ha participado un <strong>76%</strong>
els-omellons,Els Omellons,7873,5645,172,269,El censo de <strong>Els Omellons</strong> es <strong>18166</strong> y ha participado un <strong>77%</strong>
els-omells-de-na-gaia,Els Omells de na Gaia,7299,5991,427,122,El censo de <strong>Els Omells de na Gaia</strong> es <strong>16904</strong> y ha participado un <strong>82%</strong>
els-pallaresos,Els Pallaresos,7783,5531,386,392,El censo de <strong>Els Pallaresos</strong> es <strong>19489</strong> y ha participado un <strong>72%</strong>
els-plans-de-sio,Els Plans de Sió,7199,4151,286,273,El censo de <strong>Els Plans de Sió</strong> es <strong>17650</strong> y ha participado un <strong>67%</strong>
els-prats-de-rei,Els Prats de Rei,5468,3328,380,326,El censo de <strong>Els Prats de Rei</strong> es <strong>12839</strong> y ha participado un <strong>74%</strong>
els-torms,Els Torms,9315,5283,357,153,El censo de <strong>Els Torms</strong> es <strong>20680</strong> y ha participado un <strong>73%</strong>
es-bordes,Es Bòrdes,7715,3003,434,157,El censo de <strong>Es Bòrdes</strong> es <strong>16112</strong> y ha participado un <strong>70%</strong>
esparreguera,Esparreguera,8652,4090,105,324,El censo de <strong>Esparreguera</strong> es <strong>18301</strong> y ha participado un <strong>72%</strong>
espinelves,Espinelves,8102,3907,235,178,El censo de <strong>Espinelves</strong> es <strong>15845</strong> y ha participado un <strong>78%</strong>
esplugues-de-llobregat,Esplugues de Llobregat,7069,5861,141,170,El censo de <strong>Esplugues de Llobregat</strong> es <strong>18064</strong> y ha participado un <strong>73%</strong>
espolla,Espolla,8530,4164,173,289,El censo de <strong>Espolla</strong> es <strong>18548</strong> y ha participado un <strong>71%</strong>
esponella,Esponellà,9613,4586,404,331,El censo de <strong>Esponellà</strong> es <strong>18871</strong> y ha participado un <strong>79%</strong>
espot,Espot,5813,4438,498,346,El censo de <strong>Espot</strong> es <strong>15855</strong> y ha participado un <strong>70%</strong>
estamariu,Estamariu,5414,5120,458,119,El censo de <strong>Estamariu</strong> es <strong>14405</strong> y ha participado un <strong>77%</strong>
estaras,Estaràs,5624,4720,205,113,El censo de <strong>Estaràs</strong> es <strong>15094</strong> y ha participado un <strong>71%</strong>
esterri-d-aneu,Esterri d'Àneu,9558,5199,468,259,El censo de <strong>Esterri d'Àneu</strong> es <strong>20784</strong> y ha participado un <strong>74%</strong>
esterri-de-cardos,Esterri de Cardós,9574,4736,261,360,El censo de <strong>Esterri de Cardós</strong> es <strong>20894</strong> y ha participado un <strong>71%</strong>
falset,Falset,7539,5795,100,346,El censo de <strong>Falset</strong> es <strong>18214</strong> y ha participado un <strong>76%</strong>
farrera,Farrera,9747,4289,313,444,El censo de <strong>Farrera</strong> es <strong>19273</strong> y ha participado un <strong>77%</strong>
figaro-montmany,Figaró-Montmany,9854,5715,465,198,El censo de <strong>Figaró-Montmany</strong> es <strong>21275</strong> y ha participado un <strong>76%</strong>
figols,Fígols,6697,4677,211,384,El censo de <strong>Fígols</strong> es <strong>15313</strong> y ha participado un <strong>78%</strong>
figols-i-alinya,Fígols i Alinyà,9807,3301,311,317,El censo de <strong>Fígols i Alinyà</strong> es <strong>18905</strong> y ha participado un <strong>73%</strong>
figueres,Figueres,9230,4405,328,447,El censo de <strong>Figueres</strong> es <strong>19471</strong> y ha participado un <strong>74%</strong>
figuerola-del-camp,Figuerola del Camp,8736,4817,443,390,El censo de <strong>Figuerola del Camp</strong> es <strong>18927</strong> y ha participado un <strong>76%</strong>
flaca,Flaçà,9225,4234,122,246,El censo de <strong>Flaçà</strong> es <strong>17585</strong> y ha participado un <strong>79%</strong>
flix,Flix,6679,5770,144,371,El censo de <strong>Flix</strong> es <strong>18365</strong> y ha participado un <strong>71%</strong>
fogars-de-la-selva,Fogars de la Selva,8421,5760,412,265,El censo de <strong>Fogars de la Selva</strong> es <strong>18754</strong> y ha participado un <strong>79%</strong>
fogars-de-montclus,Fogars de Montclús,7998,4291,185,286,El censo de <strong>Fogars de Montclús</strong> es <strong>16234</strong> y ha participado un <strong>79%</strong>
foixa,Foixà,5147,5386,348,135,El censo de <strong>Foixà</strong> es <strong>14923</strong> y ha participado un <strong>74%</strong>
folgueroles,Folgueroles,7755,5652,217,452,El censo de <strong>Folgueroles</strong> es <strong>18389</strong> y ha participado un <strong>77%</strong>
fondarella,Fondarella,8269,5560,222,230,El censo de <strong>Fondarella</strong> es <strong>19091</strong> y ha participado un <strong>75%</strong>
fonollosa,Fonollosa,7802,3773,450,380,El censo de <strong>Fonollosa</strong> es <strong>17906</strong> y ha participado un <strong>69%</strong>
fontanals-de-cerdanya,Fontanals de Cerdanya,9288,5944,151,375,El censo de <strong>Fontanals de Cerdanya</strong> es <strong>19781</strong> y ha participado un <strong>80%</strong>
fontanilles,Fontanilles,8749,5957,409,326,El censo de <strong>Fontanilles</strong> es <strong>18468</strong> y ha participado un <strong>84%</strong>
fontcoberta,Fontcoberta,7248,3238,291,343,El censo de <strong>Fontcoberta</strong> es <strong>14625</strong> y ha participado un <strong>76%</strong>
font-rubi,Font-rubí,8371,5937,179,124,El censo de <strong>Font-rubí</strong> es <strong>20353</strong> y ha participado un <strong>72%</strong>
foradada,Foradada,9476,4178,292,334,El censo de <strong>Foradada</strong> es <strong>19331</strong> y ha participado un <strong>74%</strong>
forallac,Forallac,5705,3826,148,256,El censo de <strong>Forallac</strong> es <strong>13671</strong> y ha participado un <strong>73%</strong>
fores,Forès,5050,4281,252,486,El censo de <strong>Forès</strong> es <strong>14578</strong> y ha participado un <strong>69%</strong>
fornells-de-la-selva,Fornells de la Selva,6369,4275,470,475,El censo de <strong>Fornells de la Selva</strong> es <strong>17221</strong> y ha participado un <strong>67%</strong>
fortia,Fortià,9627,5710,360,193,El censo de <strong>Fortià</strong> es <strong>19424</strong> y ha participado un <strong>82%</strong>
freginals,Freginals,7309,3092,469,341,El censo de <strong>Freginals</strong> es <strong>14854</strong> y ha participado un <strong>75%</strong>
fulleda,Fulleda,7591,3164,439,483,El censo de <strong>Fulleda</strong> es <strong>15958</strong> y ha participado un <strong>73%</strong>
gaia,Gaià,6224,4014,302,357,El censo de <strong>Gaià</strong> es <strong>16837</strong> y ha participado un <strong>65%</strong>
gallifa,Gallifa,7856,4700,231,331,El censo de <strong>Gallifa</strong> es <strong>18144</strong> y ha participado un <strong>72%</strong>
gandesa,Gandesa,6293,3066,130,406,El censo de <strong>Gandesa</strong> es <strong>13276</strong> y ha participado un <strong>75%</strong>
garcia,Garcia,7520,4514,273,348,El censo de <strong>Garcia</strong> es <strong>18372</strong> y ha participado un <strong>69%</strong>
garrigas,Garrigàs,7421,3834,335,309,El censo de <strong>Garrigàs</strong> es <strong>14940</strong> y ha participado un <strong>80%</strong>
garrigoles,Garrigoles,8618,3409,339,309,El censo de <strong>Garrigoles</strong> es <strong>18407</strong> y ha participado un <strong>69%</strong>
garriguella,Garriguella,8094,4572,328,484,El censo de <strong>Garriguella</strong> es <strong>17391</strong> y ha participado un <strong>77%</strong>
gava,Gavà,8319,5978,265,378,El censo de <strong>Gavà</strong> es <strong>18967</strong> y ha participado un <strong>79%</strong>
gavet-de-la-conca,Gavet de la Conca,9933,5714,478,183,El censo de <strong>Gavet de la Conca</strong> es <strong>20980</strong> y ha participado un <strong>78%</strong>
gelida,Gelida,8984,4587,239,349,El censo de <strong>Gelida</strong> es <strong>18388</strong> y ha participado un <strong>77%</strong>
ger,Ger,7860,5236,461,225,El censo de <strong>Ger</strong> es <strong>17355</strong> y ha participado un <strong>79%</strong>
gimenells-i-el-pla-de-la-font,Gimenells i el Pla de la Font,8748,4299,195,487,El censo de <strong>Gimenells i el Pla de la Font</strong> es <strong>17453</strong> y ha participado un <strong>79%</strong>
ginestar,Ginestar,7345,5688,412,175,El censo de <strong>Ginestar</strong> es <strong>18647</strong> y ha participado un <strong>73%</strong>
girona,Girona,7052,4048,164,188,El censo de <strong>Girona</strong> es <strong>15210</strong> y ha participado un <strong>75%</strong>
gironella,Gironella,8915,5440,422,257,El censo de <strong>Gironella</strong> es <strong>18568</strong> y ha participado un <strong>81%</strong>
gisclareny,Gisclareny,8102,3375,107,457,El censo de <strong>Gisclareny</strong> es <strong>16059</strong> y ha participado un <strong>75%</strong>
godall,Godall,7087,5268,107,242,El censo de <strong>Godall</strong> es <strong>18300</strong> y ha participado un <strong>69%</strong>
golmes,Golmés,9533,5432,399,142,El censo de <strong>Golmés</strong> es <strong>19896</strong> y ha participado un <strong>78%</strong>
gombren,Gombrèn,9433,3384,274,111,El censo de <strong>Gombrèn</strong> es <strong>17812</strong> y ha participado un <strong>74%</strong>
gosol,Gósol,6004,3288,158,263,El censo de <strong>Gósol</strong> es <strong>12840</strong> y ha participado un <strong>76%</strong>
granera,Granera,9505,3117,469,149,El censo de <strong>Granera</strong> es <strong>19155</strong> y ha participado un <strong>69%</strong>
granollers,Granollers,7077,3276,500,391,El censo de <strong>Granollers</strong> es <strong>16020</strong> y ha participado un <strong>70%</strong>
granyanella,Granyanella,5792,3336,150,398,El censo de <strong>Granyanella</strong> es <strong>13066</strong> y ha participado un <strong>74%</strong>
granyena-de-les-garrigues,Granyena de les Garrigues,8536,4060,375,105,El censo de <strong>Granyena de les Garrigues</strong> es <strong>18877</strong> y ha participado un <strong>69%</strong>
granyena-de-segarra,Granyena de Segarra,9440,3523,470,463,El censo de <strong>Granyena de Segarra</strong> es <strong>18797</strong> y ha participado un <strong>74%</strong>
gratallops,Gratallops,9932,4178,393,326,El censo de <strong>Gratallops</strong> es <strong>18189</strong> y ha participado un <strong>82%</strong>
gualba,Gualba,9715,5810,113,334,El censo de <strong>Gualba</strong> es <strong>21951</strong> y ha participado un <strong>73%</strong>
gualta,Gualta,9520,5957,401,365,El censo de <strong>Gualta</strong> es <strong>21510</strong> y ha participado un <strong>76%</strong>
guardiola-de-bergueda,Guardiola de Berguedà,8502,4674,375,108,El censo de <strong>Guardiola de Berguedà</strong> es <strong>18843</strong> y ha participado un <strong>72%</strong>
guils-de-cerdanya,Guils de Cerdanya,9185,3188,288,246,El censo de <strong>Guils de Cerdanya</strong> es <strong>18448</strong> y ha participado un <strong>70%</strong>
guimera,Guimerà,8671,5884,409,351,El censo de <strong>Guimerà</strong> es <strong>19370</strong> y ha participado un <strong>79%</strong>
guissona,Guissona,9824,3585,344,190,El censo de <strong>Guissona</strong> es <strong>18097</strong> y ha participado un <strong>77%</strong>
guixers,Guixers,8194,4432,276,493,El censo de <strong>Guixers</strong> es <strong>16711</strong> y ha participado un <strong>80%</strong>
gurb,Gurb,5905,3859,414,458,El censo de <strong>Gurb</strong> es <strong>14876</strong> y ha participado un <strong>71%</strong>
horta-de-sant-joan,Horta de Sant Joan,7263,5588,340,337,El censo de <strong>Horta de Sant Joan</strong> es <strong>19425</strong> y ha participado un <strong>70%</strong>
hostalric,Hostalric,8760,5243,175,327,El censo de <strong>Hostalric</strong> es <strong>20407</strong> y ha participado un <strong>71%</strong>
igualada,Igualada,6715,5798,213,323,El censo de <strong>Igualada</strong> es <strong>17984</strong> y ha participado un <strong>73%</strong>
isona-i-conca-della,Isona i Conca Dellà,9101,3911,145,470,El censo de <strong>Isona i Conca Dellà</strong> es <strong>18936</strong> y ha participado un <strong>72%</strong>
isovol,Isòvol,9471,3602,409,150,El censo de <strong>Isòvol</strong> es <strong>17299</strong> y ha participado un <strong>79%</strong>
ivars-de-noguera,Ivars de Noguera,5817,3735,113,321,El censo de <strong>Ivars de Noguera</strong> es <strong>14694</strong> y ha participado un <strong>68%</strong>
ivars-d-urgell,Ivars d'Urgell,9066,5003,279,290,El censo de <strong>Ivars d'Urgell</strong> es <strong>18190</strong> y ha participado un <strong>80%</strong>
ivorra,Ivorra,8178,5614,173,169,El censo de <strong>Ivorra</strong> es <strong>18747</strong> y ha participado un <strong>75%</strong>
jafre,Jafre,6188,4638,275,224,El censo de <strong>Jafre</strong> es <strong>14385</strong> y ha participado un <strong>79%</strong>
jorba,Jorba,6270,3381,161,450,El censo de <strong>Jorba</strong> es <strong>13435</strong> y ha participado un <strong>76%</strong>
josa-i-tuixen,Josa i Tuixén,9958,3341,230,464,El censo de <strong>Josa i Tuixén</strong> es <strong>18089</strong> y ha participado un <strong>77%</strong>
juia,Juià,6736,3029,370,235,El censo de <strong>Juià</strong> es <strong>13923</strong> y ha participado un <strong>74%</strong>
juncosa,Juncosa,6550,4349,358,173,El censo de <strong>Juncosa</strong> es <strong>14970</strong> y ha participado un <strong>76%</strong>
juneda,Juneda,9869,3556,225,106,El censo de <strong>Juneda</strong> es <strong>18020</strong> y ha participado un <strong>76%</strong>
la-baronia-de-rialb,La Baronia de Rialb,9263,3522,364,251,El censo de <strong>La Baronia de Rialb</strong> es <strong>19227</strong> y ha participado un <strong>70%</strong>
la-bisbal-de-falset,La Bisbal de Falset,6712,3223,159,223,El censo de <strong>La Bisbal de Falset</strong> es <strong>14221</strong> y ha participado un <strong>73%</strong>
la-bisbal-del-penedes,La Bisbal del Penedès,9331,5307,105,310,El censo de <strong>La Bisbal del Penedès</strong> es <strong>18229</strong> y ha participado un <strong>83%</strong>
la-bisbal-d-emporda,La Bisbal d'Empordà,8584,5642,337,360,El censo de <strong>La Bisbal d'Empordà</strong> es <strong>20222</strong> y ha participado un <strong>74%</strong>
la-canonja,La Canonja,6030,5527,436,166,El censo de <strong>La Canonja</strong> es <strong>17737</strong> y ha participado un <strong>69%</strong>
la-cellera-de-ter,La Cellera de Ter,7548,5441,412,417,El censo de <strong>La Cellera de Ter</strong> es <strong>19799</strong> y ha participado un <strong>70%</strong>
la-coma-i-la-pedra,La Coma i la Pedra,5937,3477,227,182,El censo de <strong>La Coma i la Pedra</strong> es <strong>14014</strong> y ha participado un <strong>70%</strong>
la-fatarella,La Fatarella,8515,4659,393,269,El censo de <strong>La Fatarella</strong> es <strong>17895</strong> y ha participado un <strong>77%</strong>
la-febro,La Febró,8327,3751,159,104,El censo de <strong>La Febró</strong> es <strong>17107</strong> y ha participado un <strong>72%</strong>
la-figuera,La Figuera,9549,5601,224,459,El censo de <strong>La Figuera</strong> es <strong>19117</strong> y ha participado un <strong>83%</strong>
la-floresta,la Floresta,9987,4184,350,363,El censo de <strong>la Floresta</strong> es <strong>18772</strong> y ha participado un <strong>79%</strong>
la-fuliola,La Fuliola,5938,4101,408,302,El censo de <strong>La Fuliola</strong> es <strong>15998</strong> y ha participado un <strong>67%</strong>
la-galera,La Galera,5932,3683,301,235,El censo de <strong>La Galera</strong> es <strong>13644</strong> y ha participado un <strong>74%</strong>
la-garriga,La Garriga,5540,3201,255,438,El censo de <strong>La Garriga</strong> es <strong>14780</strong> y ha participado un <strong>64%</strong>
la-granada,La Granada,9302,4310,319,493,El censo de <strong>La Granada</strong> es <strong>19298</strong> y ha participado un <strong>75%</strong>
la-granadella,La Granadella,6611,5800,470,269,El censo de <strong>La Granadella</strong> es <strong>19064</strong> y ha participado un <strong>69%</strong>
la-granja-d-escarp,La Granja d'Escarp,9329,3910,169,170,El censo de <strong>La Granja d'Escarp</strong> es <strong>18559</strong> y ha participado un <strong>73%</strong>
la-guingueta-d-aneu,La Guingueta d'Àneu,5503,5953,216,443,El censo de <strong>La Guingueta d'Àneu</strong> es <strong>17637</strong> y ha participado un <strong>69%</strong>
la-jonquera,La Jonquera,9451,5016,301,483,El censo de <strong>La Jonquera</strong> es <strong>19307</strong> y ha participado un <strong>79%</strong>
la-llacuna,La Llacuna,7456,5860,268,136,El censo de <strong>La Llacuna</strong> es <strong>16933</strong> y ha participado un <strong>81%</strong>
la-llagosta,La Llagosta,9928,4812,464,304,El censo de <strong>La Llagosta</strong> es <strong>20831</strong> y ha participado un <strong>74%</strong>
la-maso,La Masó,5057,3391,118,103,El censo de <strong>La Masó</strong> es <strong>11711</strong> y ha participado un <strong>74%</strong>
la-molsosa,La Molsosa,5422,5802,426,350,El censo de <strong>La Molsosa</strong> es <strong>17976</strong> y ha participado un <strong>67%</strong>
la-morera-de-montsant,La Morera de Montsant,9348,5714,274,119,El censo de <strong>La Morera de Montsant</strong> es <strong>19630</strong> y ha participado un <strong>79%</strong>
la-nou-de-bergueda,La Nou de Berguedà,9210,5017,250,404,El censo de <strong>La Nou de Berguedà</strong> es <strong>19829</strong> y ha participado un <strong>75%</strong>
la-nou-de-gaia,La Nou de Gaià,9581,3600,323,223,El censo de <strong>La Nou de Gaià</strong> es <strong>16885</strong> y ha participado un <strong>81%</strong>
la-palma-de-cervello,La Palma de Cervelló,6152,4927,334,148,El censo de <strong>La Palma de Cervelló</strong> es <strong>16092</strong> y ha participado un <strong>72%</strong>
la-palma-d-ebre,La Palma d'Ebre,5221,3331,269,271,El censo de <strong>La Palma d'Ebre</strong> es <strong>12448</strong> y ha participado un <strong>73%</strong>
la-pera,La Pera,9429,4227,363,415,El censo de <strong>La Pera</strong> es <strong>18160</strong> y ha participado un <strong>79%</strong>
la-pobla-de-cervoles,La Pobla de Cérvoles,7657,5590,386,163,El censo de <strong>La Pobla de Cérvoles</strong> es <strong>18647</strong> y ha participado un <strong>74%</strong>
la-pobla-de-claramunt,La Pobla de Claramunt,6906,4878,263,138,El censo de <strong>La Pobla de Claramunt</strong> es <strong>18090</strong> y ha participado un <strong>67%</strong>
la-pobla-de-lillet,La Pobla de Lillet,8618,4771,313,159,El censo de <strong>La Pobla de Lillet</strong> es <strong>19352</strong> y ha participado un <strong>72%</strong>
la-pobla-de-mafumet,La Pobla de Mafumet,5636,5570,195,201,El censo de <strong>La Pobla de Mafumet</strong> es <strong>15652</strong> y ha participado un <strong>74%</strong>
la-pobla-de-massaluca,La Pobla de Massaluca,5572,3105,494,265,El censo de <strong>La Pobla de Massaluca</strong> es <strong>13436</strong> y ha participado un <strong>70%</strong>
la-pobla-de-montornes,La Pobla de Montornès,8675,4969,331,447,El censo de <strong>La Pobla de Montornès</strong> es <strong>19429</strong> y ha participado un <strong>74%</strong>
la-pobla-de-segur,La Pobla de Segur,8293,4382,490,472,El censo de <strong>La Pobla de Segur</strong> es <strong>16947</strong> y ha participado un <strong>80%</strong>
la-portella,La Portella,7871,4064,489,380,El censo de <strong>La Portella</strong> es <strong>16825</strong> y ha participado un <strong>76%</strong>
